dataset,column,issue,example,action_stage,planned_action
BPQ,bp_medication,"Missing BP medication responses are primarily structural. All 4,477 participants reporting no hypertension history have bp_medication missing.","hypertension_history = 2: 4,477 participants, all with bp_medication missing.",cleaning,Treat BP medication as not applicable when hypertension history indicates no hypertension rather than imputing these values.
DIQ,prediabetes_history,Prediabetes history missingness is largely structural based on diabetes diagnosis. All participants reporting diagnosed diabetes or the code 3 response have prediabetes_history missing.,"diagnosed_diabetes = 1: 1,059 participants, all missing prediabetes_history; diagnosed_diabetes = 3: 264 participants, all missing.",cleaning,Interpret prediabetes_history together with diagnosed_diabetes rather than treating structurally skipped responses as ordinary missing data.
PAQ,moderate_pa_minutes_session,Moderate activity session minutes show structural missingness when moderate activity frequency is zero.,"All 1,571 participants with moderate_pa_frequency = 0 have moderate_pa_minutes_session missing; an additional 52 participants with nonzero frequency also have minutes missing.",cleaning,Treat missing session minutes as not applicable when activity frequency is zero. Keep the additional missing values among participants with nonzero frequency as true missing values requiring separate handling.
PAQ,vigorous_pa_minutes_session,Vigorous activity session minutes show structural missingness when vigorous activity frequency is zero.,Participants with vigorous_pa_frequency = 0 have vigorous_pa_minutes_session missing.,cleaning,Treat missing session minutes as not applicable when vigorous activity frequency is zero. Preserve missing minutes among participants with nonzero frequency as true missing values.
PAQ,moderate_pa_unit / vigorous_pa_unit,Physical-activity unit fields were imported from the XPT files as byte objects and include blank byte values.,"Values include b'D', b'W', b'M', b'Y', and b''.",cleaning,"Decode/map byte values to readable categories (Day, Week, Month, Year) and convert b'' to missing."
DIQ,diagnosed_diabetes,The diagnosed diabetes variable contains code 3 in addition to yes/no responses.,Code 3 occurs in the source data and represents a distinct response category.,target_definition,Preserve code 3 during cleaning and explicitly decide how it contributes to diabetes outcome construction rather than automatically treating it as yes/no.
BPQ,multiple questionnaire fields,NHANES special response codes are present.,hypertension_history: 7 (1 records); hypertension_history: 9 (10 records); bp_medication: 9 (4 records); high_cholesterol_history: 9 (50 records); cholesterol_medication: 9 (33 records),cleaning,Recode applicable Refused/Don't Know special-response codes to missing before feature engineering or statistical analysis.
DIQ,multiple questionnaire fields,NHANES special response codes are present.,diagnosed_diabetes: 9 (1 records); prediabetes_history: 9 (9 records),cleaning,Recode applicable Refused/Don't Know special-response codes to missing before feature engineering or statistical analysis.
PAQ,multiple questionnaire fields,NHANES special response codes are present.,moderate_pa_frequency: 7777 (7 records); moderate_pa_frequency: 9999 (37 records); moderate_pa_minutes_session: 9999 (18 records); vigorous_pa_frequency: 7777 (2 records); vigorous_pa_frequency: 9999 (35 records); vigorous_pa_minutes_session: 7777 (1 records); vigorous_pa_minutes_session: 9999 (10 records); sedentary_min_day: 7777 (5 records); sedentary_min_day: 9999 (66 records),cleaning,Recode applicable Refused/Don't Know special-response codes to missing before feature engineering or statistical analysis.
SMQ,multiple questionnaire fields,NHANES special response codes are present.,ever_100_cigarettes: 7 (7 records); ever_100_cigarettes: 9 (6 records),cleaning,Recode applicable Refused/Don't Know special-response codes to missing before feature engineering or statistical analysis.
DEMO/PAQ/GHB/GLU,multiple numeric fields,The SAS XPT representation of zero (5.397605346934028e-79) appears in multiple numeric variables.,"DEMO income_poverty_ratio: 64; DEMO mec_exam_weight: 1,376; PAQ moderate_pa_frequency: 1,571; vigorous_pa_frequency: 4,094; sedentary_min_day: 8; GHB phlebotomy_weight: 261; GLU fasting_subsample_weight: 452.",cleaning,"Convert the XPT zero representation to numeric 0 before calculating derived features, interpreting distributions, or using survey weights."
DEMO,mec_exam_weight,"1,376 cohort participants have MEC examination weight stored as the SAS XPT zero representation rather than numeric 0.","1,376 mec_exam_weight values equal 5.397605346934028e-79. This matches the 1,376 participants without BMX/BPXO/GHB coverage.",cleaning,"Convert the XPT zero representation to numeric 0. During survey-weighted analyses involving MEC examination variables, use participants with an appropriate positive examination weight."
GHB,phlebotomy_weight,"After merging to the cohort, 1,376 participants have no GHB component record and therefore have missing phlebotomy weight; an additional 261 observed weight values are stored as the XPT zero representation.","1,376 missing phlebotomy weights and 261 XPT-encoded zero weights.",cleaning,Convert XPT-encoded zeros to numeric 0 and retain component noncoverage as missing. Use positive phlebotomy weights where appropriate for survey-weighted analyses.
GLU,fasting_subsample_weight,"After merging to the cohort, 3,989 participants have no GLU component record and therefore have missing fasting subsample weight; an additional 452 observed weights are stored as the XPT zero representation.","3,989 missing fasting_subsample_weight values and 452 XPT-encoded zero weights.",cleaning,Convert XPT-encoded zeros to numeric 0 and retain component noncoverage as missing. Use positive fasting-subsample weights for analyses based on the fasting subsample.
